candidate_id,name,party,party_code,office,state,disbursements,dollars
S4GA11285,"PERDUE, DAVID",REPUBLICAN PARTY,REP,Senate,GA,3,12800.0
S0TN00169,"HAGERTY, BILL",REPUBLICAN PARTY,REP,Senate,TN,3,12800.0
S0GA00526,"LOEFFLER, KELLY",REPUBLICAN PARTY,REP,Senate,GA,3,12800.0
S4AR00103,"COTTON, THOMAS",REPUBLICAN PARTY,REP,Senate,AR,2,10000.0
S0DE00092,"COONS, CHRISTOPHER A.",DEMOCRATIC PARTY,DEM,Senate,DE,2,10000.0
H6NJ05171,"GOTTHEIMER, JOSH",DEMOCRATIC PARTY,DEM,House,NJ,4,8000.0
H8LA02054,"RICHMOND, CEDRIC L",DEMOCRATIC PARTY,DEM,House,LA,4,8000.0
H8OR05107,"SCHRADER, KURT",DEMOCRATIC PARTY,DEM,House,OR,4,7000.0
H2TX33073,"VEASEY, MARC ALLISON",DEMOCRATIC PARTY,DEM,House,TX,4,7000.0
H0FL15104,"FRANKLIN, SCOTT MR.",REPUBLICAN PARTY,REP,House,FL,4,6000.0
H2CA31125,"AGUILAR, PETE",DEMOCRATIC PARTY,DEM,House,CA,6,5008.0
H8NY06048,"MEEKS, GREGORY W.",DEMOCRATIC PARTY,DEM,House,NY,2,5000.0
H8NM02156,"HERRELL, STELLA YVETTE",REPUBLICAN PARTY,REP,House,NM,2,5000.0
H2NV04011,"HORSFORD, STEVEN ALEXZANDER",DEMOCRATIC PARTY,DEM,House,NV,2,5000.0
H2SC02042,"CLYBURN, JAMES E",DEMOCRATIC PARTY,DEM,House,SC,2,5000.0
H2TX00015,"JOHNSON, EDDIE BERNICE",DEMOCRATIC PARTY,DEM,House,TX,2,5000.0
H2TX26093,"BURGESS, MICHAEL C. DR.",REPUBLICAN PARTY,REP,House,TX,2,5000.0
S0NH00219,"SHAHEEN, JEANNE",DEMOCRATIC PARTY,DEM,Senate,NH,2,5000.0
H0AL07086,"SEWELL, TERRI A.",DEMOCRATIC PARTY,DEM,House,AL,2,5000.0
H4LA06153,"GRAVES, GARRET",REPUBLICAN PARTY,REP,House,LA,2,5000.0
