Company,recipient,disbursements,dollars
Exxon Mobil,NRSC TARGETED STATE VICTORY,2,120000.0
Exxon Mobil,BLUEGRASS COMMITTEE,2,10000.0
Exxon Mobil,CHRIS COONS FOR DELAWARE,2,10000.0
Exxon Mobil,"COTTON FOR SENATE, INC.",2,10000.0
Exxon Mobil,GEORGIANS FOR KELLY LOEFFLER,2,10000.0
Microsoft,WARNOCK FOR GEORGIA,68,1833.98
Microsoft,NANCY PELOSI FOR CONGRESS,12,600.0
Microsoft,NATIONAL CAMPAIGN TRAINING COMMITTEE NCTC PAC ,34,517.0
Microsoft,PROGRESSIVE TAKEOVER,24,440.0
Microsoft,PROGRESSIVE ACTION POLITICAL ACTION COMMITTEE,18,296.0
Tractor Supply,GEORGIANS FOR KELLY LOEFFLER,1,2800.0
Tractor Supply,PERDUE FOR SENATE,1,2800.0
Tractor Supply,TEAM HAGERTY,1,2800.0
Tractor Supply,TEAM LOEFFLER,1,2800.0
Tractor Supply,WELLS FARGO,3,925.98
Walmart,WINRED TECHNICAL SERVICES LLC,32,343077.51
